Id,No,Barcode,Name,PriceList,Category_Id,category_name,Quantity,TotalPrice,Count,Client_Id,type,is_refund,Session_Id,User_Id,SalaCaptinId,DeliveryManId,BranchId,IsDeleted,TableId,DailyCount,YearCount,Is_Cash,Date,UnitId,ProductUnitName,QuantityFromParentForProductUnit,SoldUnitName,QuantityFromParentForSoldUnit,TotalCost,UnitCost,MenuId,IsDone,DiscountValue,StartSession,name_en,category_name_en
461bb8e3-fa25-4298-86d3-da3b3290f877,52,52,قهوة تركي,35,a562390f-e36d-4349-aba5-99440975975c,Hot drinks,1,25,1,,صالة,0,098b48c4-5e56-4881-8540-825329efe5ce,b1-2YZEAZ,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,,1,0,b1_7OZYBC,1,1,1,2025-03-05 21:39:51,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-03-05 21:25:40,Turkish coffee,Hot drinks
daf19ef4-1eb3-49df-8ea1-0189c894eb76,36,36,نسكافية بالحليب,65,a562390f-e36d-4349-aba5-99440975975c,Hot drinks,1,65,1158,,صالة,0,a1c2a96e-272b-4542-a746-de3e6f56e9ef,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,,1,0,b1_9FY9Z4,1,1155,1,2025-05-18 22:37:19,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-05-18 11:50:57,Nescafe with milk,Hot drinks
94ab74f4-5224-4c87-8124-e92a15fd14dc,34,34,مياة معدنية صغيرة,10,2dc3d683-b099-4c3c-9df4-81935227e011,Cold drinks,2,20,1951,,صالة,0,af51f702-77c2-4fd1-ac0f-9967e16cf476,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,,1,0,b1_7OZYBC,1,1948,1,2025-07-11 01:51:16,1,قطعة,1,قطعة,1,9,4.5,1,1,0,2025-07-10 18:19:41,Small water,Cold drinks
6fe13d3e-ea5b-415f-81db-e9090dacb084,54,54,قهوة فرنساوي,45,a562390f-e36d-4349-aba5-99440975975c,Hot drinks,1,45,816,,صالة,0,d32daf11-cf4a-441d-98de-11b83fbd7678,77ea1854-76b3-4580-a902-5f54582c316a,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,,1,0,b1_50357Z,1,813,1,2025-04-30 17:09:26,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-04-30 09:04:10,French coffee,Hot drinks
daf19ef4-1eb3-49df-8ea1-0189c894eb76,36,36,نسكافية بالحليب,65,a562390f-e36d-4349-aba5-99440975975c,Hot drinks,2,130,1128,,صالة,0,fad6595f-9187-4218-92c7-b7e50923abeb,77ea1854-76b3-4580-a902-5f54582c316a,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,,1,0,b1_1FYXYW,1,1125,1,2025-05-17 15:50:31,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-05-17 08:30:59,Nescafe with milk,Hot drinks
461bb8e3-fa25-4298-86d3-da3b3290f877,52,52,قهوة تركي,35,a562390f-e36d-4349-aba5-99440975975c,Hot drinks,1,25,2,,صالة,0,098b48c4-5e56-4881-8540-825329efe5ce,b1-2YZEAZ,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,,1,0,b1_60NMTC,2,2,1,2025-03-05 21:39:54,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-03-05 21:25:40,Turkish coffee,Hot drinks
2f96ae39-307e-4a81-af61-eb7b37b551a5,15,15,ليمون,60,f3b6a32c-2ce9-4c21-9371-0c3c4a386896,Fresh juices,2,80,537,,صالة,0,98bf5078-beea-4331-9177-b4c4f593d190,77ea1854-76b3-4580-a902-5f54582c316a,3e5f2cef-0ed9-4fe7-9cec-9dc0a940fcef,,1,0,b1_50357Z,1,536,1,2025-04-14 20:51:45,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-04-14 09:09:31,Lemon,Fresh juices
94ab74f4-5224-4c87-8124-e92a15fd14dc,34,34,مياة معدنية صغيرة,10,2dc3d683-b099-4c3c-9df4-81935227e011,Cold drinks,1,10,1031,,صالة,0,f00c2c8f-9fe4-40d8-9bad-3a69644ee6e3,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,,1,0,b1_9FY9Z4,1,1028,1,2025-05-11 00:40:27,1,قطعة,1,قطعة,1,4.5,4.5,1,1,0,2025-05-10 09:38:17,Small water,Cold drinks
daf19ef4-1eb3-49df-8ea1-0189c894eb76,36,36,نسكافية بالحليب,65,a562390f-e36d-4349-aba5-99440975975c,Hot drinks,1,65,2032,,صالة,0,1475869a-2a31-40eb-8142-fdbab3842c11,77ea1854-76b3-4580-a902-5f54582c316a,985df166-19be-49c5-b10a-4b1170532b71,,1,0,b1_50357Z,1,2029,0,2025-07-16 22:26:32,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-07-16 13:59:02,Nescafe with milk,Hot drinks
461bb8e3-fa25-4298-86d3-da3b3290f877,52,52,قهوة تركي,35,a562390f-e36d-4349-aba5-99440975975c,Hot drinks,1,25,3,,صالة,0,e9315fd9-e802-4202-840d-dcd97e0ea8a9,77ea1854-76b3-4580-a902-5f54582c316a,405f67b2-d2bb-438b-8b42-51bad37da206,,1,0,b1_BJL0T4,3,3,1,2025-03-06 01:57:03,1,قطعة,1,قطعة,1,0,0,1,1,0,2025-03-05 21:50:22,Turkish coffee,Hot drinks
